journal,,editor_in_chief,author,title,year,issue,english_author,original title,first published year,genre,additional comments,decade,general_secretary
IL,,,Азимов Айзек,Буква закона,1981,7,Isaac Asimov,A Loint of Paw,1957,,first published in The Magazine of Fantasy & Science Fiction,1980s,Brezhnev
IL,,,Аллен Вуди,Воспоминания о двадцатых,1979,4,Woody Allen,A Twenties Memory,1971,,"part of Getting Even collection, most peaces first published in the New Yorker between 1966 and 1971",1970s,Brezhnev
IL,,,Аллен Вуди,Смерть: Пьеса,1989,8,Woody Allen,Death,1975,,,1980s,Gorbachev
IL,,,Аллен Вуди,Квитанции Меттерлина,1989,8,Woody Allen,The Metterling Lists,1969,,"first published in the New Yorker in 1969, part of Getting Even collection(1971), most peaces first published in the New Yorker between 1966 and 1971",1980s,Gorbachev
IL,,,Аллен Вуди,Беседы с Гельмгольцем,1989,8,Woody Allen,Conversations with Helmholtz,1971,,"part of Getting Even collection, most peaces first published in the New Yorker between 1966 and 1971",1980s,Gorbachev
IL,,,Аллен Вуди,Рассказы: Торговцы интеллектом,1977,6,Woody Allen,The Whore of Mensa,1974,,"first published in the New Yorker, later part of Without Feathers(1975) collection",1970s,Brezhnev
IL,,,Аллен Вуди,...Век учись,1977,6,Woody Allen,Spring Bulletin,1967,,"first published in the New Yorker, part of Getting Even collection(1971) ",1970s,Brezhnev
IL,,,Аллен Вуди,Смерть стучится в дверь,1978,5,Woody Allen,Death Knocks,1968,,"part of Getting Even collectio(1971)n, most peaces first published in the New Yorker between 1966 and 1971",1970s,Brezhnev
IL,,,Аллен Вуди,Если бы импрессионисты были стомато­ логами...,1978,5,Woody Allen,If the Impressionists Had Been Dentists,1975,,,1970s,Brezhnev
IL,,,Андерсон Шервуд,Его комод,1982,3,Sherwood Anderson,His Chest of Drawers,1942,,,1980s,Andropov
IL,,,Андерсон Шервуд,Пастораль,1982,3,Sherwood Anderson,Pastoral,1942,,,1980s,Andropov
IL,,,Андерсон Шервуд,Незабытый,1982,3,Sherwood Anderson,Childhood and Young Manhood,1942,,,1980s,Andropov
IL,,,Андерсон Шервуд,Большая рыба,1982,3,Sherwood Anderson,Big Fish,1942,,,1980s,Andropov
IL,,,Андерсон Шервуд,Наша утренняя перекличка,1982,3,Sherwood Anderson,Our Morning Roll Call,1942,,,1980s,Andropov
IL,,,Андерсон Шервуд,Землевладелец,1982,3,Sherwood Anderson,A Landed Proprietor,1942,,,1980s,Andropov
IL,,,Апдайк Джон,Давай поженимся: Романтическая история,1979,"7, 8",John Updike,Marry Me,1976,,,1970s,Brezhnev
IL,,,Апдайк Джон,Кентавр: Роман,1965,"1, 2",John Updike,Centaur,1963,,,1960s,Brezhnev
IL,,,Апдайк Джон,Ферма: Роман,1967,4,John Updike,Of the Farm,1965,,,1960s,Brezhnev
IL,,,Бартельм Дональд,Полицейский джаз,1980,5,Donald Barthelme,The Police Band,1964,,published in the New Yorker,1980s,Brezhnev
IL,,,Бах Ричард Дэвис,Чайка по имени Джонатан Ливингстон: Повесть-притча,1974,12,Richard Bach,Jonathan Livingston Seagull: A Story,1970,,,1970s,Brezhnev
IL,,,Бейли Уильям,Ветер рождает бурю: Повесть,1970,4,Bill Bailey,ЖУРНАЛЬНАЯ ПУБЛИКАЦИЯ,,,,1970s,Brezhnev
IL,,,Беллоу Сол,Герцог: Роман,1990,"11, 12",Saul Bellow,Herzog,1964,,,1990s,Gorbachev
IL,,,Бенчли Питер,Челюсти: Роман,1984,"7, 8",Peter Benchley,Jaws,1974,,,1980s,Chernenko
IL,,,Бенчли Роберт,Способны ли насекомые мыслить?: Рассказ,1985,4,Robert Benchley,Do Incects Think?,1922,,,1980s,Gorbachev
IL,,,Болдуин Джеймс,Блюз Сонни,1971,4,James Baldwin,Sonny's Blues,1957,,,1970s,Brezhnev
IL,,,Болдуин Джеймс,Наследник,1971,4,James Baldwin,The Man Child,1965,,,1970s,Brezhnev
IL,,,Болдуин Джеймс,Блюз для мистера Чарли: Пьеса в 3-х д.,1964,11,James Baldwin,Blues for Mister Charlie,1964,,,1960s,Brezhnev
IL,,,Болдуин Джеймс,Если Бийл-стрит могла бы заговорить: Роман,1975,7,James Baldwin,If Beale Street Could Talk,1974,,,1970s,Brezhnev
IL,,,Болдуин Джеймс,Записки сына Америки: Глава из книги,1982,2,James Baldwin,Notes of Native Son,1955,,,1980s,Andropov
IL,,,Боуэн Роберт,Какой ценой,1958,8,Robert Bowen,,,,,1950s,Khrushchev
IL,,,Браутиган Ричард,Литературная жизнь в Калифорнии,1981,5,Richard Brautigan,The Literary Life in California/1964,1971,,,1980s,Brezhnev
IL,,,Браутиган Ричард,На троих,1981,5,Richard Brautigan,"1/3, 1/3, 1/3",1971,,,1980s,Brezhnev
IL,,,Браутиган Ричард,Я пытался описать тебя кому-то,1981,5,Richard Brautigan,I Was Trying to Describe You to Someone,1971,,,1980s,Brezhnev
IL,,,Браутиган Ричард,Машинистка Эрнеста Хемингуэя,1981,5,Richard Brautigan,Ernest Hemingway's Typist,1971,,,1980s,Brezhnev
IL,,,Бретнор Реджиналд, Корень зла: Рассказ,1985,11,Reginald Bretnor,Bug Getter,1960,,First published in: The Magazine of Fantasy & Science Fiction,1980s,Gorbachev
IL,,,Брэдбери Рэй,Фантастические рассказы: Луг,1963,8,Ray Bradbury,The Meadow,1953,,,1960s,Khrushchev
IL,,,Брэдбери Рэй,Вельд,1963,8,Ray Bradbury,The Veldt,1950,,,1960s,Khrushchev
IL,,,Брэдбери Рэй,Чепушинка,1983,7,Ray Bradbury,Everything Instead of Something,1943,,,1980s,Andropov
IL,,,Бухвальд Арт,Грандиозный сценарий Флетча,1977,2,Art Buchwald,A Great Movie by Fletch,,,,1970s,Brezhnev
IL,,,Бухвальд Арт,Давайте сделаем не­большую передышку,1977,2,Art Buchwald,Let's Pause for a Moment,,,,1970s,Brezhnev
IL,,,Бухвальд Арт,Безработный патриот,1977,2,Art Buchwald,The Jobless Patriot,,,,1970s,Brezhnev
IL,,,Бухвальд Арт,Изобретение телевиде­ния,1977,2,Art Buchwald,The Invention of TV,,,,1970s,Brezhnev
IL,,,Бухвальд Арт,Луна на Земле,1977,2,Art Buchwald,The Moon is Down,,,,1970s,Brezhnev
IL,,,Бухвальд Арт,Горести рая,1977,2,Art Buchwald,Trouble in Paradise,,,,1970s,Brezhnev
IL,,,Бухвальд Арт,Совет писателям,1964,5,Art Buchwald,Advice to Writers,,,,1960s,Brezhnev
IL,,,Бухвальд Арт,Посещение парижского кино,1964,5,Art Buchwald,Going to a Paris Movie,,,,1960s,Brezhnev
IL,,,Бухвальд Арт,Преступником быть не хуже,1964,5,Art Buchwald,Crime Pays Better,,,,1960s,Brezhnev
IL,,,Бухвальд Арт,Багажная квитанция художника-битника,1964,5,Art Buchwald,A Beatnik Painter's Claim Check,,,,1960s,Brezhnev
IL,,,Видал Гор,1876: Роман,1986,"4, 5",Gore Vidal,1876,1976,,,1980s,Gorbachev
IL,,,Видал Гор,"Вашингон, округ Колумбия: Роман",1968,"11, 12",Gore Vidal,"Washington, D.C.",1967,,,1960s,Brezhnev
IL,,,Воннегут Курт,Завтрак для чемпионов: Роман,1975,"1, 2",Kurt Vonnegut,Breakfast of Champions,1973,,,1970s,Brezhnev
IL,,,Воннегут Курт,Малый Не Промах: Роман,1986,9,Kurt Vonnegut,Deadeye Dick,1982,,,1980s,Gorbachev
IL,,,Вулф Том,Костры амбиций: Роман. ,1991,"10, 11",Tom Wolfe,The Bonfire of the Vanities,1987,,,1990s,Gorbachev
IL,,,Вулф Томас,Повести: Паутина,1971,7,Thomas Wolfe,The Web of Earth,1932,,,1970s,Brezhnev
IL,,,Вулф Томас,Смерть - гордая сестра,1971,7,Thomas Wolfe,"Death, the Proud Brother",1933,,,1970s,Brezhnev
IL,,,Гарднер Джон,Джон Нэппер плывет по вселенной,1976,7,John Gardner,John Napper Sailing Through the Universe,1974,,,1970s,Brezhnev
IL,,,Гейнс Эрнест Дж.,И сошлись старики: Роман,1987,8,Ernest J. Gaines,A Gathering of Old Men,1983,,,1980s,Gorbachev
IL,,,Герзон Марк,"Герои, которых мы выбираем. Идеал Мужчины — вчера и сегодня: Фрагменты книги",1987,3,Mark Genzon,A Choice of Heroes: The Changing Faces of American Manhood,1982,,,1980s,Gorbachev
IL,,,Грау Шерли Энн,Стерегущие дом: Роман,1969,"3, 4",Shirley Ann Grau,The Keepers of the House,1964,,,1960s,Brezhnev
IL,,,Грей Лен,Милая старушка из Крикет Крик,1982,10,Len Gray,The Little Old Lady from Cricket Creek,1969,,Ellery Queen’s Mystery Magazine,1980s,Andropov
IL,,,"Гульотта Гай, Лин Джефф",Кокаиновые короли: Документальная повесть,1991,3,"Guy Gugliotta, Jeff Leen",Kings of Cocaine,1989,,,1990s,Gorbachev
IL,,,Дайс Джей,Крупная игра: Роман,1960,3-Jan,Joseph Jay Deiss,The Blue Chips,,,,1960s,Khrushchev
IL,,,Джеймс Генри,Письма Асперна: Повесть,1973,7,Henry James,The Aspern Papers,1888,,,1970s,Brezhnev
IL,,,Джексон Шерли,По-маминому: Рассказ,1986,10,Shirley Jackson,Like Mother Used to Make,1949,,,1980s,Gorbachev
IL,,,Джонс Джеймс,Только позови: Роман,1982,9-Jul,James Jones,Whistle,1978,,,1980s,Andropov
IL,,,Джордж Элек Эффинджер,В Чужом Облике,1988,12,George Alec Effinger,The Pinch-Hitters,1979,,,1980s,Gorbachev
IL,,,Доктороу Э. Л.,Билли Батгейт: Роман,1991,"6, 7",E. L. Doctorow,Billy Bathgate,1989,,,1990s,Gorbachev
IL,,,Доктороу Э. Л.,Рэгтайм: Роман,1978,"9, 10",E. L. Doctorow,Ragtime,1975,,,1970s,Brezhnev
IL,,,Донливи Джеймс Патрик,Кама грядеши,1981,11,J. P. Donleavy,Wither Wigwams,1964,,,1980s,Brezhnev
IL,,,Донливи Джеймс Патрик,Два письма,1981,11,J. P. Donleavy,Dear Sylvia! Dear Hugo!,1964,,,1980s,Brezhnev
IL,,,Донливи Джеймс Патрик,Кодекс без изъятий и сокращений. Полный свод прав.ил выживания и поведения в обществе,1978,6,J. P. Donleavy,The Unexpurgated Code: A Complete Manual of Survival & Manners,1975,,,1970s,Brezhnev
IL,,,Доннел К. М.,Гибкая позиция,1981,5,Barry N. Malzberg/K. M. O'Donnell,A Question of Slant,1971,,,1980s,Brezhnev
IL,,,Драйер Стэн,Покорение монумента Вашингтону,1983,1,Stan Dryer,The Conquest of the Washington Monument,,,,1980s,Andropov
IL,,,"Дуглас Натан Е., Смит Гарольд Дж.",Не склонившие головы: Киносценарий,1960,6,"Nathan E. Douglas, Harold Jacob Smith",The Defiant Ones,1958,,,1960s,Khrushchev
IL,,,Дэвидоу Майк,Орлы и голуби: Повесть,1986,7,Mike  Davidow,The Eagle-Doves,,,,1980s,Gorbachev
IL,,,Дэвидсон Аврам,Булыжники Саратога-стрит,1978,1,Avram Davidson,The Cobblestones of Saratoga Street,1964,,,1970s,Brezhnev
IL,,,Ирвинг Джон,До Айовы рукой подать: Рассказ,1987,4,John Irving,Almost in Iowa,1973,,,1980s,Gorbachev
IL,,,Казинс Норман,Врачующее сердце: Отрывки из книги,1985,7,Norman Cousins,The Healing Heart: Antidotes to Panic and Helplessness,1983,,,1980s,Gorbachev
IL,,,Капоте Трумэн,Гость на празднике,1976,7,Truman Capote,The Thanksgiving Visitor,1967,,,1970s,Brezhnev
IL,,,Капоте Трумэн,Обыкновенное убийство: документальная повесть,1966,4-Feb,Truman Capote,In Cold Blood: A True Account of a Multiple Murder and Its Consequences,1966,,,1960s,Brezhnev
IL,,,Капоте Трумэн,Самодельные гробики: Документальный рассказ об одном американском  преступлении,1982,9,Truman Capote,Handcarved Coffins: A Nonfiction Account of an American Crime,1981,,,1980s,Andropov
IL,,,Кауфман Бел,Вверх по ведущей вниз лестнице: Повесть,1967,6,Bel Kaufman,Up the Down Staircase,1964,,,1960s,Brezhnev
IL,,,Кауфман Бел,"Искусство рассказчика, вызывающее смех, слезы, раздумье",1979,1,Bel Kaufman,,,,,1970s,Brezhnev
IL,,,Кауфман Джордж С.,Спокойная тревога,1988,5,George S. Kaufman,,,,,1980s,Gorbachev
IL,,,Квирк Джон,Победители без лавров: Главы из романа,1968,"7, 8",John Quirk,The Hard Winners,,,,1960s,Brezhnev
IL,,,Керуак Джек,На дороге. (Рассказы): Мексиканочка,1960,10,Jack Kerouac,On The Road. Part 1,1957,,,1960s,Khrushchev
IL,,,Керуак Джек,Джаз разбитого поколения,1960,10,Jack Kerouac,On The Road,1957,,,1960s,Khrushchev
IL,,,Килленз Джон Оливер,И тогда мы услышали гром: Роман,1965,6-Apr,John Oliver Killens,And Then We Heard the Thunder,1962,,,1960s,Brezhnev
IL,,,Кинг Стивен,Мертвая зона: Роман,1984,3-Jan,Stephen King,The Dead Zone,1979,,,1980s,Chernenko
IL,,,Колдуэлл Эрскин,Дженни: Роман,1962,12,Erskine Caldwell,Jenny by Nature,,,,1960s,Khrushchev
IL,,,Колдуэлл Эрскин,Рассказы с Мексиканского залива: Рачушки,1957,10,Erskine Caldwell,Gulf Coast Stories,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,Ради Нелли,1957,10,Erskine Caldwell,Memento,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,На рыбалку,1957,10,Erskine Caldwell,To the Chaparral,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,Подарок для Сью,1957,10,Erskine Caldwell,A Gift for Sue,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,У нас дома: Роман,1963,"10, 11",Erskine Caldwell,Close to Home,,,,1960s,Khrushchev
IL,,,Колдуэлл Эрскин,Шальные деньги,1955,2,Erskine Caldwell,The Windfall,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,Из гущи людской,1955,2,Erskine Caldwell,Masses of Men,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,Джо Крэмок и его старуха,1955,2,Erskine Caldwell,Joe Craddock's Old Woman,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,Ве­чер в Нуэво-Леоне,1955,2,Erskine Caldwell,An Evening in Nuevo Leon,,,,1950s,Khrushchev
IL,,,Колдуэлл Эрскин,Теплая река,1955,2,Erskine Caldwell,Warm River,1933,,,1950s,Khrushchev
IL,,,Ладлэм Роберт,Бумага Мэтлока: Роман,1985,"1, 2",Robert Ludlum,The Matlock Paper,1973,,,1980s,Gorbachev
IL,,,Лакёр Уолтер,«Купить в Москве книгу...»,1989,4,Walter Laqueur,,,,,1980s,Gorbachev
IL,,,Лакёр Уолтер,Монолог в Москве. Из книги «Долгий путь к свободе»,1990,2,Walter Laqueur,The Long Road to Freedom: Russia and Glasnost,1989,,,1990s,Gorbachev
IL,,,Лакёр Уолтер,Наставники Гитлера: Главы из книги «Россия и Германия»,1991,5,Walter Laqueur,Russia and Germany: A Century of Conflict,1965,,,1990s,Gorbachev
IL,,,Леви Ньюман,Волшебник крестный,1983,10,Newman Levy,Cedric's Fairy Godfather,1958,,,1980s,Andropov
